Location,CowTagID,del15N,C_N,N_percent,LiveCoral,DeadCoral,Rubble,Sand,lat,lon,dist_to_seep_m,adj_CT_depth_cm,meanRugosity
Varari,V1,5,27.69463087248322,1.108259883223623,39.81042654028436,41.70616113744076,0,18.48341232227488,-17.53975298,-149.900506,138.8887466163881,76.6,0.665024630541872
Varari,V2,4.8,30.28793774319066,1.0367919961271583,21.21212121212121,63.13131313131313,3.0303030303030303,12.626262626262626,-17.53989003,-149.900519,134.17932919465028,69.19999999999999,0.638752052545156
Varari,V3,4.3,29.70921985815603,1.116301163803341,13.675213675213676,70.51282051282051,1.7094017094017095,14.102564102564102,-17.54012598,-149.90056,131.9140795925478,52,0.6141215106732348
Varari,V4,4,29.212121212121215,1.1182649949169774,9.714285714285714,51.42857142857142,21.142857142857142,17.71428571428571,-17.54024902,-149.900454,119.34522034056933,58.7,0.671592775041051
Varari,V5,4.1,33.603846153846156,1.013368671317769,28.691983122362867,43.459915611814345,3.375527426160337,24.47257383966245,-17.54025003,-149.900336,106.83120808576328,70.9,0.5582922824302134
Varari,V6,5,28.411149825783973,1.1610032362459548,21.19815668202765,45.16129032258064,6.912442396313365,26.72811059907834,-17.54002498,-149.900106,87.85163569395478,67.69999999999999,0.7717569786535304
Varari,V7,4.7,28.98625429553265,1.1191877235490943,4.910714285714286,43.30357142857143,2.232142857142857,49.55357142857143,-17.54004803,-149.899985,74.95438051545834,45.9,0.7274220032840724
Varari,V8,5.1,28.970149253731343,1.0833535451532057,13.725490196078432,68.13725490196079,1.9607843137254901,16.176470588235293,-17.54014903,-149.899896,62.34195112810806,37.9,0.5878489326765189
Varari,V9,3.9,31.95864661654135,1.0175975516449889,50.27027027027027,7.567567567567568,4.324324324324325,37.83783783783784,-17.540245,-149.899765,46.50132202541964,77,0.7257799671592776
Varari,V10,4,28.625874125874127,1.155275488770399,16.75977653631285,77.09497206703911,2.793296089385475,3.35195530726257,-17.54030501,-149.899788,48.50883372723496,32.9,0.5303776683087028
Varari,V11,4.3,31.087248322147648,1.1118573240802925,15.238095238095239,60.476190476190474,12.857142857142856,11.428571428571429,-17.54019303,-149.900068,79.1628654576409,50.8,0.5303776683087028
Varari,V12,4.4,31.0381679389313,1.0080412450463625,23.14814814814815,39.81481481481482,15.277777777777779,21.75925925925926,-17.54030996,-149.900112,82.90297374776212,59.5,0.6338259441707718
