CowTagID,Genus,totalpCover
V1,Montipora,0
V1,Pocillopora,0
V1,Porites,43.97590361445783
V10,Montipora,2.450980392156863
V10,Pocillopora,22.54901960784314
V10,Porites,7.84313725490196
V11,Montipora,0
V11,Pocillopora,13.253012048192772
V11,Porites,3.614457831325301
V12,Montipora,0
V12,Pocillopora,26.89655172413793
V12,Porites,5.517241379310345
V14,Montipora,0
V14,Pocillopora,0
V14,Porites,0
V15,Montipora,2.5
V15,Pocillopora,10
V15,Porites,15
V16,Montipora,28.57142857142857
V16,Pocillopora,0
V16,Porites,14.285714285714285
V17,Montipora,0
V17,Pocillopora,0
V17,Porites,0
V18,Montipora,0
V18,Pocillopora,3.910614525139665
V18,Porites,14.52513966480447
V19,Montipora,23.577235772357724
V19,Pocillopora,2.4390243902439024
V19,Porites,5.691056910569105
V2,Montipora,1.058201058201058
V2,Pocillopora,14.285714285714285
V2,Porites,3.7037037037037033
V20,Montipora,0
V20,Pocillopora,0
V20,Porites,25
V3,Montipora,2.8169014084507045
V3,Pocillopora,9.15492957746479
V3,Porites,11.267605633802818
V4,Montipora,1.098901098901099
V4,Pocillopora,7.6923076923076925
V4,Porites,8.791208791208792
V5,Montipora,6.41025641025641
V5,Pocillopora,2.564102564102564
V5,Porites,23.717948717948723
V6,Montipora,0
V6,Pocillopora,0.6944444444444444
V6,Porites,29.86111111111111
V7,Montipora,0
V7,Pocillopora,1.98019801980198
V7,Porites,8.91089108910891
V8,Montipora,0.6172839506172839
V8,Pocillopora,7.4074074074074066
V8,Porites,11.728395061728394
V9,Montipora,0
V9,Pocillopora,0
V9,Porites,60.13986013986013
