Location,CowTagID,Abiotic,CCA,Coral,Macroalgae,Sand,Turf,Corallimorph,Sponge,Anemone,Cyanobacteria,TotalCalc,TotalAlgae,del15N,C_N,N_percent
Varari,V1,4.545454545454546,4.545454545454546,9.090909090909092,63.63636363636363,4.545454545454546,4.545454545454546,0,9.090909090909092,0,0,13.636363636363637,72.72727272727272,5,27.69463087248322,1.108259883223623
Varari,V10,11.11111111111111,5.555555555555555,33.33333333333333,22.22222222222222,5.555555555555555,5.555555555555555,5.555555555555555,11.11111111111111,0,0,38.888888888888886,38.888888888888886,4,28.625874125874127,1.155275488770399
Varari,V11,9.090909090909092,4.545454545454546,13.636363636363635,45.45454545454545,4.545454545454546,4.545454545454546,4.545454545454546,9.090909090909092,4.545454545454546,0,18.18181818181818,59.09090909090909,4.3,31.087248322147648,1.1118573240802925
Varari,V12,8.695652173913043,4.3478260869565215,13.043478260869565,43.47826086956522,4.3478260869565215,4.3478260869565215,4.3478260869565215,13.043478260869565,4.3478260869565215,0,17.391304347826086,56.52173913043478,4.4,31.0381679389313,1.0080412450463625
Varari,V13,10.526315789473683,5.263157894736842,10.526315789473683,57.89473684210527,5.263157894736842,5.263157894736842,0,5.263157894736842,0,0,15.789473684210524,73.6842105263158,3.9,34.635999999999996,0.9785501800532332
Varari,V14,0,9.090909090909092,0,72.72727272727273,9.090909090909092,0,0,0,9.090909090909092,0,9.090909090909092,72.72727272727273,4.7,25.52012383900929,1.2139206253758266
Varari,V15,8,4,20,44,4,4,4,8,4,0,24,56,4.7,28.49248120300752,1.120094323732525
Varari,V16,14.285714285714285,7.142857142857142,21.428571428571427,42.857142857142854,7.142857142857142,7.142857142857142,0,0,0,0,28.57142857142857,64.28571428571428,3.6,35.772532188841204,0.930734201485979
Varari,V17,10,0,0,60,10,10,0,10,0,0,0,80,4.4,29.85409252669039,1.0746930814242552
Varari,V18,10.526315789473683,5.263157894736842,15.789473684210526,42.10526315789473,5.263157894736842,5.263157894736842,5.263157894736842,10.526315789473683,0,0,21.052631578947366,57.89473684210526,4.6,30.38783269961977,1.0523788563883
Varari,V19,9.090909090909092,4.545454545454546,18.181818181818183,54.54545454545454,4.545454545454546,4.545454545454546,4.545454545454546,0,0,0,22.72727272727273,68.18181818181817,3.9,30.94736842105263,1.0290809099241731
Varari,V2,5.88235294117647,2.941176470588235,26.47058823529412,47.05882352941176,2.941176470588235,2.941176470588235,2.941176470588235,8.823529411764707,0,0,29.411764705882355,55.882352941176464,4.8,30.28793774319066,1.0367919961271583
Varari,V20,8.333333333333332,0,8.333333333333332,66.66666666666666,8.333333333333332,8.333333333333332,0,0,0,0,8.333333333333332,83.33333333333331,4,30.212927756653993,1.099130725509863
Varari,V3,9.090909090909092,4.545454545454546,31.818181818181817,40.909090909090914,4.545454545454546,4.545454545454546,4.545454545454546,0,0,0,36.36363636363636,54.545454545454554,4.3,29.70921985815603,1.116301163803341
Varari,V4,9.090909090909092,4.545454545454546,27.27272727272727,45.45454545454545,4.545454545454546,4.545454545454546,0,4.545454545454546,0,0,31.818181818181817,59.09090909090909,4,29.212121212121215,1.1182649949169774
Varari,V5,10,5,20,45,5,5,5,5,0,0,25,60,4.1,33.603846153846156,1.013368671317769
Varari,V6,9.523809523809524,0,19.047619047619047,57.14285714285714,4.761904761904762,4.761904761904762,0,0,0,4.761904761904762,19.047619047619047,71.42857142857142,5,28.411149825783973,1.1610032362459548
Varari,V7,11.76470588235294,0,17.647058823529413,52.94117647058824,5.88235294117647,5.88235294117647,0,5.88235294117647,0,0,17.647058823529413,70.58823529411765,4.7,28.98625429553265,1.1191877235490943
Varari,V8,10.526315789473683,5.263157894736842,21.052631578947366,42.10526315789473,5.263157894736842,5.263157894736842,0,5.263157894736842,5.263157894736842,0,26.31578947368421,57.89473684210526,5.1,28.970149253731343,1.0833535451532057
Varari,V9,25,0,12.5,37.5,12.5,12.5,0,0,0,0,12.5,75,3.9,31.95864661654135,1.0175975516449889
Varari,Reef_Ambient_1,7.6923076923076925,3.8461538461538463,23.076923076923077,53.84615384615385,3.8461538461538463,3.8461538461538463,0,3.8461538461538463,0,0,26.923076923076923,65.38461538461539,4.1,31.44396551724138,0.9370329981017004
Varari,Reef_Ambient_2,7.6923076923076925,3.8461538461538463,26.923076923076923,46.15384615384615,3.8461538461538463,3.8461538461538463,3.8461538461538463,3.8461538461538463,0,0,30.76923076923077,57.69230769230769,4.2,31.708333333333336,0.970659607324068
Varari,Sand_SGD_1,16.666666666666664,0,0,66.66666666666666,16.666666666666664,0,0,0,0,0,0,83.33333333333331,7.5,23.096774193548388,1.2651652877230737
Varari,Sand_SGD_2,25,0,0,62.5,12.5,0,0,0,0,0,0,87.5,4.9,28.976377952755907,1.023945819559784
