Location,CowTagID,lat,lon,Salinity,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V1,-17.53975298,-149.900506,0.30000000000000426,67.51391199999989,0.051948852021995506,0.03,4.2,0.33999999999999997,0.2,1.5693131120000001,1.491449791,0.005512358,0.079217751,0.191660771,4.6,34.53571429,0.946727778
Varari,V2,-17.53989003,-149.900519,0.30999999999999517,36.72910300000012,0.040938940161092674,0.06,4.84,0.4800000000000001,2.1399999999999997,0.9470447579999999,0.522329723,0.013778123,0.065594937,0.170858012,4.4,32.19318182,1.048576081
Varari,V3,-17.54012598,-149.90056,0.240000000000002,35.56881199999998,0.09971948829702626,0.04999999999999999,2.1799999999999997,0.44999999999999996,0.18,1.2488103060000002,0.3545304060000001,0.005838862000000001,0.04852419899999999,0.113861195,4,32.45090909,1.080889867
Varari,V4,-17.54024902,-149.900454,0.13000000000000256,42.67027999999982,0.03654725895887445,0.03,2.17,0.66,0.77,0.7841087789999999,0.594830671,0.008265299,0.058235287999999996,0.146260775,3.9,29.54045307,1.16017121
Varari,V5,-17.54025003,-149.900336,0.2700000000000031,44.963942000000316,0.030869814466582213,0.06,4.569999999999999,0.5800000000000001,0.42000000000000004,1.1128869250000002,0.9995069109999999,0.0050882570000000005,0.098957565,0.237780592,4.1,34.53696498,0.974888097
Varari,V6,-17.54002498,-149.900106,0.19999999999999574,42.486355,0.040169177299654635,0.07,3.95,0.47000000000000003,0.31,0.9702215350000001,0.589991969,0.003335003999999999,0.06988388400000001,0.204656575,4.9,31.34586466,1.074096507
Varari,V7,-17.54004803,-149.899985,0.21999999999999886,34.5116680000001,0.06275623818232923,0.04000000000000001,2.99,0.38,0.38999999999999996,0.44367845100000003,0.70652776,0.004393360000000001,0.08056052999999999,0.21222055299999998,4.8,31.32931727,0.994806233
Varari,V8,-17.54014903,-149.899896,0.5200000000000031,41.83841200000006,0.08926696446357418,0.07,7.51,0.8800000000000001,0.34,1.016610473,0.845446731,0.006061465,0.07075314,0.209265969,5.2,26.95665635,1.263891063
Varari,V9,-17.540245,-149.899765,0.0899999999999963,54.036509000000024,0.03460752572394199,0.01999999999999999,1.4000000000000001,0.17000000000000004,0.27,0.889693499,0.4294807930000001,0.0015296449999999996,0.057978222999999995,0.183904401,3.6,38.33766234,0.892029657
Varari,V10,-17.54030501,-149.899788,0.17999999999999972,60.09651699999995,0.035491479496920775,0.010000000000000009,2.7800000000000002,0.2,0.16999999999999998,1.144033997,0.827134864,0.0032374809999999995,0.046026549,0.14805078500000002,4,33.6626506,0.977659115
Varari,V11,-17.54019303,-149.900068,0.4100000000000037,61.27340299999969,0.02306525963630257,0.03,6.95,0.77,0.66,0.563787035,0.564349373,0.004833756000000001,0.057985803999999995,0.180363426,4.5,28.34951456,1.187867605
Varari,V12,-17.54030996,-149.900112,0.1599999999999966,21.036494000000403,0.03521374400037658,0.04999999999999999,3.3299999999999996,0.31,0.5,0.635724822,0.655545904,0.005197145,0.061502850000000005,0.188911687,3.8,31.12132353,1.101526748
Varari,V13,-17.540749,-149.899133,0.14000000000000057,48.47108799999978,0.04614522869867521,0.03,0.8199999999999998,0.05999999999999994,0.14,0.8552478639999999,1.010404213,0.002538068000000001,0.05440287,0.177208403,3.6,36.34156379,0.949033392
Varari,V14,-17.54039696,-149.899396,0.10000000000000142,75.96885399999974,0.07003982989544788,0.010000000000000009,2.21,0.15999999999999998,0.36999999999999994,1.3838734099999999,1.572474567,0.0046557939999999996,0.062713952,0.197968844,4.5,36.73913043,0.892337536
Varari,V15,-17.54014299,-149.900183,0.30000000000000426,62.854237999999896,0.08042260257479406,0.10000000000000003,6.96,0.6900000000000001,0.20999999999999996,0.8817502829999999,0.938352201,0.0025489680000000004,0.052851050999999996,0.186217429,4.6,30.09271523,1.139493642
Varari,V16,-17.54029797,-149.900492,0.19000000000000483,42.076130999999805,0.05590350567030988,0.01999999999999999,0.7100000000000001,0.14999999999999997,0.56,1.4479646240000001,0.915703334,0.006802884,0.058641693,0.18391983,3.7,38.21461187,0.876701361
Varari,V17,-17.54031901,-149.899572,1.029999999999994,46.508644000000004,0.058722176025643336,0.07999999999999999,6.14,0.5800000000000001,0.09000000000000002,1.284872884,1.055391363,0.0032953329999999992,0.061559907999999997,0.21525917900000002,4.3,30.83150183,1.079862347
Varari,V18,-17.54019697,-149.899906,0.4399999999999977,61.494542999999794,0.03848272071377323,0.1,6.79,0.78,0.27999999999999997,1.0961226780000002,0.985226953,0.005222219,0.063918605,0.204775145,4.3,28.9893617,1.167943674
Varari,V19,-17.54050802,-149.89978,0.35999999999999943,52.21709099999998,0.0541008528008895,0.03,0.5900000000000001,0.23999999999999996,0.3,0.677693128,0.57645928,0.005237019000000001,0.058897392,0.20740676000000002,3.5,34.24723247,1.03684432
Varari,V20,-17.54045103,-149.899509,0.240000000000002,47.01646900000014,0.05557328903129566,0.08000000000000002,1.13,0.29,0.21,0.9998530589999999,0.7443360400000001,0.00409206,0.056060951,0.198080654,3.8,33.57370518,0.988305705
Varari,VSEEP,-17.540302,-149.899331,6.73,478.02873699999964,0.29442250591121777,0.8700000000000001,161.24,12.35,0.8600000000000001,0.883303602,1.711179398,0.020979669000000003,0.07356976900000001,0.19914975299999998,8,25.96463023,1.249297019
